response,context1,context2,context3,context4,context5,context6,context7
Do you think it wise to trust Hagrid with something as important as this?,Hagrid is bringing him.,And the boy?,The good and the bad.,"I'm afraid so, professor.","Are the rumors true, Albus?","Good evening, Professor Dumbledore.","I should've known that you would be here, Professor McGonagall."
"Ah, Professor, I would trust Hagrid with my life.",Do you think it wise to trust Hagrid with something as important as this?,Hagrid is bringing him.,And the boy?,The good and the bad.,"I'm afraid so, professor.","Are the rumors true, Albus?","Good evening, Professor Dumbledore."
"Professor Dumbledore, sir.","Ah, Professor, I would trust Hagrid with my life.",Do you think it wise to trust Hagrid with something as important as this?,Hagrid is bringing him.,And the boy?,The good and the bad.,"I'm afraid so, professor.","Are the rumors true, Albus?"
Professor McGonagall.,"Professor Dumbledore, sir.","Ah, Professor, I would trust Hagrid with my life.",Do you think it wise to trust Hagrid with something as important as this?,Hagrid is bringing him.,And the boy?,The good and the bad.,"I'm afraid so, professor."
"No problems, I trust, Hagrid?",Professor McGonagall.,"Professor Dumbledore, sir.","Ah, Professor, I would trust Hagrid with my life.",Do you think it wise to trust Hagrid with something as important as this?,Hagrid is bringing him.,And the boy?,The good and the bad.
"No, sir.","No problems, I trust, Hagrid?",Professor McGonagall.,"Professor Dumbledore, sir.","Ah, Professor, I would trust Hagrid with my life.",Do you think it wise to trust Hagrid with something as important as this?,Hagrid is bringing him.,And the boy?
Little tyke fell asleep just as we were flying over Bristol.,"No, sir.","No problems, I trust, Hagrid?",Professor McGonagall.,"Professor Dumbledore, sir.","Ah, Professor, I would trust Hagrid with my life.",Do you think it wise to trust Hagrid with something as important as this?,Hagrid is bringing him.
Try not to wake him.,Little tyke fell asleep just as we were flying over Bristol.,"No, sir.","No problems, I trust, Hagrid?",Professor McGonagall.,"Professor Dumbledore, sir.","Ah, Professor, I would trust Hagrid with my life.",Do you think it wise to trust Hagrid with something as important as this?
There you go.,Try not to wake him.,Little tyke fell asleep just as we were flying over Bristol.,"No, sir.","No problems, I trust, Hagrid?",Professor McGonagall.,"Professor Dumbledore, sir.","Ah, Professor, I would trust Hagrid with my life."
"Albus, do you really think it's safe, leaving him with these people?",There you go.,Try not to wake him.,Little tyke fell asleep just as we were flying over Bristol.,"No, sir.","No problems, I trust, Hagrid?",Professor McGonagall.,"Professor Dumbledore, sir."
I've watched them all day.,"Albus, do you really think it's safe, leaving him with these people?",There you go.,Try not to wake him.,Little tyke fell asleep just as we were flying over Bristol.,"No, sir.","No problems, I trust, Hagrid?",Professor McGonagall.
"They're the worst sort of Muggles, imaginable.",I've watched them all day.,"Albus, do you really think it's safe, leaving him with these people?",There you go.,Try not to wake him.,Little tyke fell asleep just as we were flying over Bristol.,"No, sir.","No problems, I trust, Hagrid?"
They really are...,"They're the worst sort of Muggles, imaginable.",I've watched them all day.,"Albus, do you really think it's safe, leaving him with these people?",There you go.,Try not to wake him.,Little tyke fell asleep just as we were flying over Bristol.,"No, sir."
